cell,level,unit,aggregation,past_band,metric,mean,sd,min,max,S,reason
oth,document,tlg0060.tlg001.perseus-grc3.11.tb.xml,not_applicable,ge8,ce_ctw_original,4.062408917204219,0.03012447521369299,4.0288137906760975,4.094031943252035,10,
oth,document,tlg0060.tlg001.perseus-grc3.11.tb.xml,not_applicable,ge8,ce_ctw_shuffled,4.418272666039995,0.00930565979346073,4.405751968097817,4.4322103843392835,10,
oth,document,tlg0060.tlg001.perseus-grc3.11.tb.xml,not_applicable,ge8,ce_root_original,4.566519471772092,0.0025170561037408047,4.562766965506137,4.570469137625003,10,
oth,document,tlg0060.tlg001.perseus-grc3.11.tb.xml,not_applicable,ge8,ce_root_shuffled,4.418272666039995,0.00930565979346073,4.405751968097817,4.4322103843392835,10,
oth,document,tlg0060.tlg001.perseus-grc3.11.tb.xml,not_applicable,ge8,g_original,0.504110554567874,0.02985441899819324,0.4736050004644152,0.5361006140767204,10,
oth,document,tlg0060.tlg001.perseus-grc3.11.tb.xml,not_applicable,ge8,g_shuffled,0.0,0.0,0.0,0.0,10,
oth,document,tlg0060.tlg001.perseus-grc3.11.tb.xml,not_applicable,ge8,q,0.504110554567874,0.02985441899819324,0.4736050004644152,0.5361006140767204,10,
oth,group,HEX,eligible_token_weighted,all,ce_ctw_original,4.587043693449488,0.002480412622167644,4.58226189863874,4.591423663547754,10,
oth,group,HEX,eligible_token_weighted,all,ce_ctw_shuffled,4.773378679838238,0.004723791710758163,4.768741047487406,4.782203837869954,10,
oth,group,HEX,eligible_token_weighted,all,ce_root_original,4.845707298708374,0.0011685861717725468,4.844250908886845,4.848288481052648,10,
oth,group,HEX,eligible_token_weighted,all,ce_root_shuffled,4.773378679838238,0.004723791710758163,4.768741047487406,4.782203837869954,10,
oth,group,HEX,eligible_token_weighted,all,g_original,0.2586636052588865,0.002209407310209569,0.2552614721861145,0.26230459882124624,10,
oth,group,HEX,eligible_token_weighted,all,g_shuffled,0.0,0.0,0.0,0.0,10,
oth,group,HEX,eligible_token_weighted,all,q,0.2586636052588865,0.002209407310209569,0.2552614721861145,0.26230459882124624,10,
oth,group,HEX,equal_block,all,ce_ctw_original,4.6278831391198185,0.0050112562493930925,4.620796357021702,4.636755146163853,10,
oth,group,HEX,equal_block,all,ce_ctw_shuffled,4.824585259249888,0.008014395797910743,4.812795613348278,4.83693804841403,10,
oth,group,HEX,equal_block,all,ce_root_original,4.883097099328056,0.0023041139809768735,4.880028867293204,4.886611895572386,10,
oth,group,HEX,equal_block,all,ce_root_shuffled,4.824585259249888,0.008014395797910743,4.812795613348278,4.83693804841403,10,
oth,group,HEX,equal_block,all,g_original,0.2552139602082383,0.0037077891446175393,0.24868054510085758,0.2602988502080916,10,
oth,group,HEX,equal_block,all,g_shuffled,0.0,0.0,0.0,0.0,10,
oth,group,HEX,equal_block,all,q,0.2552139602082383,0.0037077891446175393,0.24868054510085758,0.2602988502080916,10,
oth,group,PROSE_ALL,eligible_token_weighted,all,ce_ctw_original,4.251272194986916,0.005877948417039857,4.2435215082291355,4.259074894102308,10,
oth,group,PROSE_ALL,eligible_token_weighted,all,ce_ctw_shuffled,4.5745963119962525,0.0029334992850659778,4.570964436307189,4.578865875392796,10,
oth,group,PROSE_ALL,eligible_token_weighted,all,ce_root_original,4.703189442811416,0.0006063957627350172,4.701770686757965,4.7039254720421155,10,
oth,group,PROSE_ALL,eligible_token_weighted,all,ce_root_shuffled,4.574596311996252,0.0029334992850659483,4.570964436307189,4.578865875392796,10,
oth,group,PROSE_ALL,eligible_token_weighted,all,g_original,0.4519172478245016,0.005810649221698008,0.4442221934899035,0.45948826579990876,10,
oth,group,PROSE_ALL,eligible_token_weighted,all,g_shuffled,-4.465521619524734e-17,5.767515927466976e-17,-1.1421150967204753e-16,0.0,10,
oth,group,PROSE_ALL,eligible_token_weighted,all,q,0.4519172478245016,0.005810649221697981,0.4442221934899036,0.45948826579990876,10,
oth,group,PROSE_ALL,equal_block,all,ce_ctw_original,4.255230098702621,0.005497210449395849,4.247808052961947,4.262946750586712,10,
oth,group,PROSE_ALL,equal_block,all,ce_ctw_shuffled,4.582755042944107,0.003082821570572105,4.579160883131695,4.587600730905658,10,
oth,group,PROSE_ALL,equal_block,all,ce_root_original,4.713556977516813,0.0005966883095284351,4.712180182421457,4.71424809023689,10,
oth,group,PROSE_ALL,equal_block,all,ce_root_shuffled,4.582755042944106,0.0030828215705719217,4.579160883131695,4.587600730905658,10,
oth,group,PROSE_ALL,equal_block,all,g_original,0.4583268788141909,0.005513485440534292,0.4507806184477863,0.4655532258422566,10,
oth,group,PROSE_ALL,equal_block,all,g_shuffled,-7.105427357601002e-17,9.173067274558417e-17,-1.7763568394002506e-16,0.0,10,
oth,group,PROSE_ALL,equal_block,all,q,0.45832687881419093,0.0055134854405342664,0.45078061844778644,0.4655532258422566,10,
oth,group,contrast,eligible_token_weighted,all,ce_ctw_original,0.3357714984625721,0.007041486207817351,0.32586261613096923,0.3479021553186188,10,
oth,group,contrast,eligible_token_weighted,all,ce_ctw_shuffled,0.19878236784198622,0.005892401584071589,0.19113484075517828,0.20950067442517017,10,
oth,group,contrast,eligible_token_weighted,all,ce_root_original,0.14251785589695692,0.001663106814037066,0.14064102541787094,0.1465177942946827,10,
oth,group,contrast,eligible_token_weighted,all,ce_root_shuffled,0.1987823678419863,0.005892401584071657,0.19113484075517828,0.20950067442517017,10,
oth,group,contrast,eligible_token_weighted,all,g_original,-0.19325364256561509,0.006614614379506128,-0.20422679361379426,-0.1852215907130984,10,
oth,group,contrast,eligible_token_weighted,all,g_shuffled,4.465521619524734e-17,5.767515927466976e-17,0.0,1.1421150967204753e-16,10,
oth,group,contrast,eligible_token_weighted,all,q,-0.1932536425656151,0.006614614379506104,-0.20422679361379426,-0.18522159071309857,10,
oth,group,contrast,equal_block,all,ce_ctw_original,0.3726530404171974,0.005719528151968919,0.36232679718197147,0.3828390919166633,10,
oth,group,contrast,equal_block,all,ce_ctw_shuffled,0.24183021630578097,0.009770968448935588,0.22519488244262043,0.2577771652823353,10,
