cell,variant,held_block,held_block_key,seed,doc_id,past_band,n,sum_loss_ctw_original,sum_loss_root_original,sum_loss_ctw_shuffled,sum_loss_root_shuffled,changed_symbol_eligible_slot_count,eligible_slot_count,ce_ctw_original,ce_root_original,g_original,ce_ctw_shuffled,ce_root_shuffled,g_shuffled,q,reason
upos,upos_only,HESIODIC_TRADITION,c4c0c7eaeca0d61d2e53f4f0642bfa382e91dd28b470d2f4da2ba8539fe0e7f7,2,tlg0020.tlg001.perseus-grc1.tb.xml,4_7,942,2521.708715949442,2625.185383781856,2662.3043624342085,2662.3043624342085,692,942,2.676973159181998,2.786821001891567,0.10984784270956904,2.826225437828247,2.826225437828247,0.0,0.10984784270956904,
upos,upos_only,HESIODIC_TRADITION,c4c0c7eaeca0d61d2e53f4f0642bfa382e91dd28b470d2f4da2ba8539fe0e7f7,2,tlg0020.tlg001.perseus-grc1.tb.xml,ge8,2003,5603.2928393669945,5626.101814204644,5680.315016674075,5680.315016674075,1476,2003,2.7974502443170217,2.8088376506263826,0.011387406309360859,2.835903652857751,2.835903652857751,0.0,0.011387406309360859,
upos,upos_only,HESIODIC_TRADITION,c4c0c7eaeca0d61d2e53f4f0642bfa382e91dd28b470d2f4da2ba8539fe0e7f7,2,tlg0020.tlg002.perseus-grc1.tb.xml,4_7,887,2485.964792703352,2518.34882857191,2520.266522641276,2520.266522641276,633,887,2.802666057162742,2.8391756804643857,0.03650962330164376,2.8413376805425883,2.8413376805425883,0.0,0.03650962330164376,
upos,upos_only,HESIODIC_TRADITION,c4c0c7eaeca0d61d2e53f4f0642bfa382e91dd28b470d2f4da2ba8539fe0e7f7,2,tlg0020.tlg002.perseus-grc1.tb.xml,ge8,1190,3299.8231018828124,3363.768130334771,3421.425804403301,3421.425804403301,916,1190,2.7729605898174894,2.8266959078443454,0.05373531802685605,2.87514773479269,2.87514773479269,0.0,0.05373531802685605,
upos,upos_only,HESIODIC_TRADITION,c4c0c7eaeca0d61d2e53f4f0642bfa382e91dd28b470d2f4da2ba8539fe0e7f7,2,tlg0020.tlg003.perseus-grc1.tb.xml,4_7,576,1520.903185369948,1564.6811214820307,1614.4181073906668,1614.4181073906668,411,576,2.6404569190450484,2.7164602803507476,0.07600336130569918,2.8028092142199075,2.8028092142199075,0.0,0.07600336130569918,
upos,upos_only,HESIODIC_TRADITION,c4c0c7eaeca0d61d2e53f4f0642bfa382e91dd28b470d2f4da2ba8539fe0e7f7,2,tlg0020.tlg003.perseus-grc1.tb.xml,ge8,777,2167.8874263646544,2178.320538001687,2204.78262438131,2204.78262438131,581,777,2.790073907805218,2.803501335909507,0.013427428104288985,2.8375580751368212,2.8375580751368212,0.0,0.013427428104288985,
upos,upos_only,HESIODIC_TRADITION,c4c0c7eaeca0d61d2e53f4f0642bfa382e91dd28b470d2f4da2ba8539fe0e7f7,3,tlg0020.tlg001.perseus-grc1.tb.xml,4_7,942,2530.8719397595582,2625.769831783391,2653.0977726025294,2653.0977726025294,709,942,2.6867005729931615,2.7874414350142156,0.10074086202105415,2.8164519879007743,2.8164519879007743,0.0,0.10074086202105415,
upos,upos_only,HESIODIC_TRADITION,c4c0c7eaeca0d61d2e53f4f0642bfa382e91dd28b470d2f4da2ba8539fe0e7f7,3,tlg0020.tlg001.perseus-grc1.tb.xml,ge8,2003,5632.957130821377,5627.957749464369,5672.274419940434,5672.274419940434,1482,2003,2.8122601751479666,2.8097642283896,-0.0024959467583665074,2.8318893759063575,2.8318893759063575,0.0,-0.0024959467583665074,
upos,upos_only,HESIODIC_TRADITION,c4c0c7eaeca0d61d2e53f4f0642bfa382e91dd28b470d2f4da2ba8539fe0e7f7,3,tlg0020.tlg002.perseus-grc1.tb.xml,4_7,887,2495.0665343212627,2519.2606587673204,2578.5706961585415,2578.5706961585415,678,887,2.812927321669969,2.8402036739203163,0.02727635225034719,2.907069555984827,2.907069555984827,0.0,0.02727635225034719,
upos,upos_only,HESIODIC_TRADITION,c4c0c7eaeca0d61d2e53f4f0642bfa382e91dd28b470d2f4da2ba8539fe0e7f7,3,tlg0020.tlg002.perseus-grc1.tb.xml,ge8,1190,3314.5702823615497,3364.560464069563,3377.7860216855747,3377.7860216855747,910,1190,2.785353178455084,2.8273617345122375,0.0420085560571537,2.838475648475273,2.838475648475273,0.0,0.0420085560571537,
upos,upos_only,HESIODIC_TRADITION,c4c0c7eaeca0d61d2e53f4f0642bfa382e91dd28b470d2f4da2ba8539fe0e7f7,3,tlg0020.tlg003.perseus-grc1.tb.xml,4_7,576,1527.1272024523341,1564.8173275366573,1610.1803870510528,1610.1803870510528,437,576,2.6512625042575246,2.716696749195586,0.06543424493806116,2.795452060852522,2.795452060852522,0.0,0.06543424493806116,
upos,upos_only,HESIODIC_TRADITION,c4c0c7eaeca0d61d2e53f4f0642bfa382e91dd28b470d2f4da2ba8539fe0e7f7,3,tlg0020.tlg003.perseus-grc1.tb.xml,ge8,777,2171.634567423973,2179.218273528263,2234.0686899214634,2234.0686899214634,620,777,2.794896483171136,2.8046567226875974,0.009760239516461322,2.8752492791782025,2.8752492791782025,0.0,0.009760239516461322,
